housing_id,state_id,county_name,houseaddress,minsaleprice,maxsaleprice,mediansaleprice,averagesaleprice
210702840,AZ,PINAL,1 W CANYON ROCK RD,1700.0,12470204.0,99500.0,342337.9288990826
210591110,AZ,PINAL,1 W MILL REEF DR,1700.0,12470204.0,99500.0,342337.9288990826
30823026B,AZ,PINAL,10 N BACHMAN WASH RD,1700.0,12470204.0,99500.0,342337.9288990826
200440810,AZ,PINAL,10 N CENTRAL AVE,1700.0,12470204.0,99500.0,342337.9288990826
501290850,AZ,PINAL,10 N CHERRY LN,1700.0,12470204.0,99500.0,342337.9288990826
501310010,AZ,PINAL,10 N FUQUA RD,1700.0,12470204.0,99500.0,342337.9288990826
501290170,AZ,PINAL,10 N PEPPER PL,1700.0,12470204.0,99500.0,342337.9288990826
210702320,AZ,PINAL,10 W CANYON ROCK RD,1700.0,12470204.0,99500.0,342337.9288990826
306180450,AZ,PINAL,100 E 2ND ST,1700.0,12470204.0,99500.0,342337.9288990826
515376840,AZ,PINAL,100 E BAJA PL,1700.0,12470204.0,99500.0,342337.9288990826
109539250,AZ,PINAL,100 E CAMELLIA WAY,1700.0,12470204.0,99500.0,342337.9288990826
109552580,AZ,PINAL,100 E EL PRADO DR,1700.0,12470204.0,99500.0,342337.9288990826
506070160,AZ,PINAL,100 E FLORENCE BLVD,1700.0,12470204.0,99500.0,342337.9288990826
20203268G,AZ,PINAL,100 E GRESSINGER ST,1700.0,12470204.0,99500.0,342337.9288990826
210572340,AZ,PINAL,100 E LUPINE PL,1700.0,12470204.0,99500.0,342337.9288990826
10004027E,AZ,PINAL,100 E MOON VISTA ST,1700.0,12470204.0,99500.0,342337.9288990826
509386470,AZ,PINAL,100 E WATSON PL,1700.0,12470204.0,99500.0,342337.9288990826
210571890,AZ,PINAL,100 E ZINNIA PL,1700.0,12470204.0,99500.0,342337.9288990826
50706015D,AZ,PINAL,100 N,1700.0,12470204.0,99500.0,342337.9288990826
50706015C,AZ,PINAL,100 N,1700.0,12470204.0,99500.0,342337.9288990826
411060070,AZ,PINAL,100 N APACHE DR,1700.0,12470204.0,99500.0,342337.9288990826
505670670,AZ,PINAL,100 N POTTEBAUM AVE,1700.0,12470204.0,99500.0,342337.9288990826
50705002D,AZ,PINAL,100 N ROOSEVELT AVE,1700.0,12470204.0,99500.0,342337.9288990826
200430620,AZ,PINAL,100 N SYCAMORE ST,1700.0,12470204.0,99500.0,342337.9288990826
503240100,AZ,PINAL,100 S,1700.0,12470204.0,99500.0,342337.9288990826
505255620,AZ,PINAL,100 S BOLERA CT,1700.0,12470204.0,99500.0,342337.9288990826
408190010,AZ,PINAL,100 S BUSH LN,1700.0,12470204.0,99500.0,342337.9288990826
DCD80B7E-8B29-45E1-BD17-18B31A36B70E,AZ,PINAL,100 S IDAHO RD,1700.0,12470204.0,99500.0,342337.9288990826
205202230,AZ,PINAL,100 S JEFFERSON ST,1700.0,12470204.0,99500.0,342337.9288990826
10309002D,AZ,PINAL,100 S LA BARGE RD,1700.0,12470204.0,99500.0,342337.9288990826
505255140,AZ,PINAL,100 S LAURA LN,1700.0,12470204.0,99500.0,342337.9288990826
505910010,AZ,PINAL,100 S NAPLES LN,1700.0,12470204.0,99500.0,342337.9288990826
301430150,AZ,PINAL,100 S TILBURY DR,1700.0,12470204.0,99500.0,342337.9288990826
102300160,AZ,PINAL,100 W 16TH AVE,1700.0,12470204.0,99500.0,342337.9288990826
202070460,AZ,PINAL,100 W 20TH ST,1700.0,12470204.0,99500.0,342337.9288990826
50707105A,AZ,PINAL,100 W 2ND ST,1700.0,12470204.0,99500.0,342337.9288990826
10123004G,AZ,PINAL,100 W APACHE TRL,1700.0,12470204.0,99500.0,342337.9288990826
10123004F,AZ,PINAL,100 W APACHE TRL,1700.0,12470204.0,99500.0,342337.9288990826
210801930,AZ,PINAL,100 W DANA DR,1700.0,12470204.0,99500.0,342337.9288990826
105080060,AZ,PINAL,100 W GORHAM ST,1700.0,12470204.0,99500.0,342337.9288990826
306131790,AZ,PINAL,100 W JONES AVE,1700.0,12470204.0,99500.0,342337.9288990826
106122970,AZ,PINAL,100 W LIME ST,1700.0,12470204.0,99500.0,342337.9288990826
210801270,AZ,PINAL,100 W LOVE RD,1700.0,12470204.0,99500.0,342337.9288990826
106123220,AZ,PINAL,100 W MAIN ST,1700.0,12470204.0,99500.0,342337.9288990826
515375180,AZ,PINAL,100 W MONTEGO DR,1700.0,12470204.0,99500.0,342337.9288990826
104440180,AZ,PINAL,100 W MORRIS DR,1700.0,12470204.0,99500.0,342337.9288990826
10444057A,AZ,PINAL,100 W SAHUARO DR,1700.0,12470204.0,99500.0,342337.9288990826
411010020,AZ,PINAL,1000 E ALSDORF RD,1700.0,12470204.0,99500.0,342337.9288990826
