housing_id,minsaleprice,maxsaleprice,mediansaleprice,averagesaleprice,houseaddress
210702840,1.0,378000000.0,59293.0,601239.290016066,1 W CANYON ROCK RD
210591110,1.0,378000000.0,59293.0,601239.290016066,1 W MILL REEF DR
30823026B,1.0,378000000.0,59293.0,601239.290016066,10 N BACHMAN WASH RD
200440810,1.0,378000000.0,59293.0,601239.290016066,10 N CENTRAL AVE
501290850,1.0,378000000.0,59293.0,601239.290016066,10 N CHERRY LN
501310010,1.0,378000000.0,59293.0,601239.290016066,10 N FUQUA RD
501290170,1.0,378000000.0,59293.0,601239.290016066,10 N PEPPER PL
210702320,1.0,378000000.0,59293.0,601239.290016066,10 W CANYON ROCK RD
306180450,1.0,378000000.0,59293.0,601239.290016066,100 E 2ND ST
515376840,1.0,378000000.0,59293.0,601239.290016066,100 E BAJA PL
109539250,1.0,378000000.0,59293.0,601239.290016066,100 E CAMELLIA WAY
109552580,1.0,378000000.0,59293.0,601239.290016066,100 E EL PRADO DR
506070160,1.0,378000000.0,59293.0,601239.290016066,100 E FLORENCE BLVD
20203268G,1.0,378000000.0,59293.0,601239.290016066,100 E GRESSINGER ST
210572340,1.0,378000000.0,59293.0,601239.290016066,100 E LUPINE PL
10004027E,1.0,378000000.0,59293.0,601239.290016066,100 E MOON VISTA ST
509386470,1.0,378000000.0,59293.0,601239.290016066,100 E WATSON PL
210571890,1.0,378000000.0,59293.0,601239.290016066,100 E ZINNIA PL
50706015D,1.0,378000000.0,59293.0,601239.290016066,100 N
50706015C,1.0,378000000.0,59293.0,601239.290016066,100 N
411060070,1.0,378000000.0,59293.0,601239.290016066,100 N APACHE DR
505670670,1.0,378000000.0,59293.0,601239.290016066,100 N POTTEBAUM AVE
50705002D,1.0,378000000.0,59293.0,601239.290016066,100 N ROOSEVELT AVE
200430620,1.0,378000000.0,59293.0,601239.290016066,100 N SYCAMORE ST
503240100,1.0,378000000.0,59293.0,601239.290016066,100 S
505255620,1.0,378000000.0,59293.0,601239.290016066,100 S BOLERA CT
