Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Central Middle School of Science,Anchorage,AK,99501,Anchorage Municipality,False,Middle,7,8,1,17.3
Chinook Elementary,Anchorage,AK,99502,Anchorage Municipality,False,Elementary,PK,6,1,18.2
Family Partnership Charter School,Anchorage,AK,99503,Anchorage Municipality,False,Alternative,K,12,n/a,87.0
Alaska State School for Deaf and Hard of Hearing,Anchorage,AK,99504,Anchorage Municipality,False,Alternative,PK,12,n/a,15.0
Ursa Major Elementary,Elmendorf Afb,AK,99505,Anchorage Municipality,False,,,,n/a,14.8
Aurora Elementary,Elmendorf Afb,AK,99506,Anchorage Municipality,False,Elementary,PK,6,4,18.0
Abbott Loop Elementary,Anchorage,AK,99507,Anchorage Municipality,False,Elementary,PK,6,1,15.3
Airport Heights Elementary,Anchorage,AK,99508,Anchorage Municipality,False,Elementary,PK,6,1,12.4
Bayshore Elementary,Anchorage,AK,99515,Anchorage Municipality,False,Elementary,PK,6,5,19.3
Bear Valley Elementary,Anchorage,AK,99516,Anchorage Municipality,False,Elementary,PK,6,5,19.4
Anchorage Montessori School,Anchorage,AK,99517,Anchorage Municipality,True,Private,PK,5,n/a,17.0
Anchor Lutheran School,Anchorage,AK,99518,Anchorage Municipality,True,Private,K,8,n/a,11.5
Adak School,Adak,AK,99546,Aleutians West Census Area,False,Alternative,K,12,n/a,2.5
Yakov E. Netsvetov School,Atka,AK,99547,Aleutians West Census Area,False,Alternative,K,12,n/a,5.5
Chignik Lake School,Chignik Lake,AK,99548,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,5.6
Meshik School,Port Heiden,AK,99549,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,7.0
Port Lions School,Port Lions,AK,99550,Kodiak Island Borough,False,Alternative,K,12,n/a,5.6
Akiachak School,Akiachak,AK,99551,Bethel Census Area,False,Alternative,K,12,n/a,14.9
Akiak School,Akiak,AK,99552,Bethel Census Area,False,Alternative,K,12,n/a,13.3
Akutan School,Akutan,AK,99553,Aleutians East Borough,False,Alternative,PK,12,n/a,10.0
Alakanuk School,Alakanuk,AK,99554,Kusilvak Census Area,False,Alternative,PK,12,n/a,13.8
