school_id,schoolname,schoolrating,county_name,state_id
1,Central Middle School of Science,1.0,Anchorage Municipality,AK
2,Chinook Elementary,1.0,Anchorage Municipality,AK
3,Family Partnership Charter School,3.0,Anchorage Municipality,AK
4,Alaska State School for Deaf and Hard of Hearing,3.0,Anchorage Municipality,AK
5,Ursa Major Elementary,3.0,Anchorage Municipality,AK
6,Aurora Elementary,4.0,Anchorage Municipality,AK
7,Abbott Loop Elementary,1.0,Anchorage Municipality,AK
8,Airport Heights Elementary,1.0,Anchorage Municipality,AK
9,Bayshore Elementary,5.0,Anchorage Municipality,AK
10,Bear Valley Elementary,5.0,Anchorage Municipality,AK
11,Anchorage Montessori School,3.0,Anchorage Municipality,AK
12,Anchor Lutheran School,3.0,Anchorage Municipality,AK
13,Adak School,3.0,Aleutians West Census Area,AK
14,Yakov E. Netsvetov School,3.0,Aleutians West Census Area,AK
15,Chignik Lake School,3.0,Lake and Peninsula Borough,AK
16,Meshik School,3.0,Lake and Peninsula Borough,AK
17,Port Lions School,3.0,Kodiak Island Borough,AK
18,Akiachak School,3.0,Bethel Census Area,AK
19,Akiak School,3.0,Bethel Census Area,AK
20,Akutan School,3.0,Aleutians East Borough,AK
21,Alakanuk School,3.0,Kusilvak Census Area,AK
22,Aleknagik School,3.0,Dillingham Census Area,AK
23,Chapman School,2.0,Kenai Peninsula Borough,AK
24,Aniak Junior/Senior High School,3.0,Bethel Census Area,AK
25,Blackwell School,3.0,Yukon-Koyukuk Census Area,AK
26,Ayagina'ar Elitnaurvik,3.0,Bethel Census Area,AK
27,Chaputnguak School,3.0,Bethel Census Area,AK
28,Chevak School,3.0,Kusilvak Census Area,AK
29,Chignik Bay School,3.0,Lake and Peninsula Borough,AK
30,Chignik Lagoon School,3.0,Lake and Peninsula Borough,AK
31,Birchwood ABC Elementary,5.0,Anchorage Municipality,AK
32,Clarks Point School,3.0,Dillingham Census Area,AK
33,Cooper Landing School,3.0,Kenai Peninsula Borough,AK
34,Kenny Lake School,3.0,Copper River Census Area,AK
35,Chenega School,3.0,Chugach Census Area,AK
36,Johnnie John Senior School,3.0,Bethel Census Area,AK
37,Dillingham Adventist School,3.0,Dillingham Census Area,AK
38,Alpenglow Elementary,4.0,Anchorage Municipality,AK
39,Eek School,3.0,Bethel Census Area,AK
40,William Sonny Nelson School,3.0,Dillingham Census Area,AK
41,Emmonak School,3.0,Kusilvak Census Area,AK
42,False Pass School,3.0,Aleutians East Borough,AK
43,Marshall School,3.0,Kusilvak Census Area,AK
44,Slana School,3.0,Copper River Census Area,AK
45,Girdwood School,4.0,Anchorage Municipality,AK
46,Glennallen Elementary,2.0,Copper River Census Area,AK
47,Rocky Mountain School,3.0,Bethel Census Area,AK
48,David Louis Memorial School,3.0,Yukon-Koyukuk Census Area,AK
49,Pribilof Correspondence School,3.0,Aleutians West Census Area,AK
50,Jeffery A. Bader Memorial School,3.0,Yukon-Koyukuk Census Area,AK
51,Fireweed Academy,4.0,Kenai Peninsula Borough,AK
52,Hooper Bay Charter School,3.0,Kusilvak Census Area,AK
53,Hope School,3.0,Kenai Peninsula Borough,AK
54,Kokhanok School,3.0,Lake and Peninsula Borough,AK
55,George Morgan Senior High School,3.0,Bethel Census Area,AK
56,Akiuk Memorial School,3.0,Bethel Census Area,AK
57,Tustumena Elementary,3.0,Kenai Peninsula Borough,AK
58,Aurora Borealis Charter School,5.0,Kenai Peninsula Borough,AK
59,King Cove School,3.0,Aleutians East Borough,AK
60,Bristol Bay Christian Learning Center,3.0,Bristol Bay Borough,AK
61,Chief Paul Memorial School,3.0,Bethel Census Area,AK
62,Akhiok School,3.0,Kodiak Island Borough,AK
63,Kotlik School,3.0,Kusilvak Census Area,AK
64,Ket'acik/Aapalluk Memorial School,3.0,Bethel Census Area,AK
65,Kwigillingok School,3.0,Bethel Census Area,AK
66,Dena'ina Elementary School,2.0,Matanuska-Susitna Borough,AK
67,Levelock School,3.0,Lake and Peninsula Borough,AK
68,Zackar Levi Elementary,3.0,Bethel Census Area,AK
69,McGrath School,3.0,Yukon-Koyukuk Census Area,AK
70,Manokotak School,3.0,Dillingham Census Area,AK
71,Nuniwarmiut School,3.0,Bethel Census Area,AK
72,Moose Pass School,3.0,Kenai Peninsula Borough,AK
73,Mountain Village School,3.0,Kusilvak Census Area,AK
74,Bristol Bay Correspondence,3.0,Bristol Bay Borough,AK
75,William Miller Memorial School,3.0,Bethel Census Area,AK
76,Chief Ivan Blunka School,3.0,Dillingham Census Area,AK
77,Nelson Island Area School,3.0,Bethel Census Area,AK
78,Ninilchik School,3.0,Kenai Peninsula Borough,AK
79,Nondalton School,3.0,Lake and Peninsula Borough,AK
80,Anna Tobeluk Memorial School,3.0,Bethel Census Area,AK
81,Old Harbor School,3.0,Kodiak Island Borough,AK
82,Ouzinkie School,3.0,Kodiak Island Borough,AK
83,Academy Charter School,4.0,Matanuska-Susitna Borough,AK
84,Perryville School,3.0,Lake and Peninsula Borough,AK
85,Pilot Point School,3.0,Lake and Peninsula Borough,AK
86,Pilot Station School,3.0,Kusilvak Census Area,AK
87,Arviq School,3.0,Bethel Census Area,AK
88,Beryozova School,3.0,Matanuska-Susitna Borough,AK
89,Tanalian School,3.0,Lake and Peninsula Borough,AK
90,American Charter Academy,3.0,Matanuska-Susitna Borough,AK
91,Kuinerrarmiut Elitnaurviat,3.0,Bethel Census Area,AK
92,Russian Mission School,3.0,Kusilvak Census Area,AK
93,Saint Mary's School,3.0,Kusilvak Census Area,AK
94,Anthony A. Andrews School,3.0,Nome Census Area,AK
95,St Paul School,3.0,Aleutians West Census Area,AK
96,Sand Point School,3.0,Aleutians East Borough,AK
97,Scammon Bay School,3.0,Kusilvak Census Area,AK
98,Susan B English School,3.0,Kenai Peninsula Borough,AK
99,Seward High School,2.0,Kenai Peninsula Borough,AK
100,Innoko River School,3.0,Yukon-Koyukuk Census Area,AK
101,Nunam Iqua School,3.0,Kusilvak Census Area,AK
102,Jack Egnaty Senior School,3.0,Bethel Census Area,AK
103,Connections,3.0,Kenai Peninsula Borough,AK
104,Tukurngailnguq School,3.0,Nome Census Area,AK
105,Sterling Elementary,1.0,Kenai Peninsula Borough,AK
106,Glacier View School,3.0,Matanuska-Susitna Borough,AK
107,Takotna Community School,3.0,Yukon-Koyukuk Census Area,AK
108,Susitna Valley High,1.0,Matanuska-Susitna Borough,AK
109,Tatitlek Community School,3.0,Chugach Census Area,AK
110,Togiak School,3.0,Dillingham Census Area,AK
111,Tuluksak School,3.0,Bethel Census Area,AK
112,Lewis Angapak Memorial School,3.0,Bethel Census Area,AK
113,Paul T. Albert Memorial School,3.0,Bethel Census Area,AK
114,Tebughna School,3.0,Kenai Peninsula Borough,AK
115,Trapper Creek Elementary,3.0,Matanuska-Susitna Borough,AK
116,Unalakleet School,3.0,Nome Census Area,AK
117,Eagle's View Elementary School,3.0,Aleutians West Census Area,AK
118,George H. Gilson Middle School,2.0,Chugach Census Area,AK
119,Goose Bay Elementary,3.0,Matanuska-Susitna Borough,AK
120,Willow Elementary,4.0,Matanuska-Susitna Borough,AK
121,LEAD Correspondence,3.0,Yakutat City and Borough,AK
122,Negtemiut Elitnaurviat School,3.0,Bethel Census Area,AK
123,Top of the Kuskokwim School,3.0,Yukon-Koyukuk Census Area,AK
124,Whittier Community School,3.0,Chugach Census Area,AK
125,Houston Middle School,0.0,Matanuska-Susitna Borough,AK
126,Alternative Learning Systems,3.0,Fairbanks North Star Borough,AK
127,Anderson Elementary,3.0,Fairbanks North Star Borough,AK
128,Arctic Light Elementary,2.0,Fairbanks North Star Borough,AK
129,Discovery Peak Charter School,2.0,Fairbanks North Star Borough,AK
130,Effie Kokrine Charter School,0.0,Fairbanks North Star Borough,AK
131,Fairhill Christian School,3.0,Fairbanks North Star Borough,AK
132,Salcha Elementary,3.0,Fairbanks North Star Borough,AK
133,Allakaket School,3.0,Yukon-Koyukuk Census Area,AK
134,Nunamiut School,3.0,North Slope Borough,AK
135,Arctic Village School,3.0,Yukon-Koyukuk Census Area,AK
136,Barrow High School,3.0,North Slope Borough,AK
