state_id,Thefts Last Week,Thefts Last 30 Days,Thefts Previous 30 Days,Theft Last Six Months,Robbery Last Week,Robbery Last 30 Days,Robbery Last Six Months,Burglary Last Week,Burglary Last 30 Days,Burglary Previous 30 Days,Burglary Last Six Months,Vandalism Last Week,Vandalism Last 30 Days,Vandalism Previous 30 Days,Vandalism Last Six Months,Shooting Last Week,Shooting Last 30 Days,Shooting Previous 30 Days,Shooting Last Six Months,Arson Last Week,Arson Last 30 Days,Arson Previous 30 Days,Arson Last Six Months,Arrest Last Week,Arrest Last 30 Days,Arrest Previous 30 Days,Arrest Last Six Months,Assault Last Week,Assault Last 30 Days,Assault Previous 30 Days,Assault Last Six Months,Other Last Week,Other Last 30 Days,Other Previous 30 Days,Other Last Six Months
AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL,1,20,17,108,0,0,0,1,0,8,4,19,0,7,7,37,0,0,0,0,0,0,1,1,0,0,1,2,2,15,16,78,5,60,58,343
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
AL,0,0,0,267,1,2,1,15,0,0,0,72,0,0,0,0,6,33,63,283,0,0,0,2,0,4,0,14,1,5,6,36,0,0,0,3
AL,0,3,2,15,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,5,0,3,3,25,1,1,3,15
AL
AL,0,1,12,50,0,0,0,0,0,0,1,4,0,0,9,24,1,1,1,2,0,0,0,0,0,3,31,156,0,0,8,29,0,1,8,54
AL
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1,15,8,65,0,0,0,1,0,0,5,11,0,0,0,2,0,0,1,2,0,0,0,0,13,79,81,408,0,0,2,16,1,2,10,29
AL,39,171,165,715,2,6,6,22,23,86,72,220,7,28,27,68,3,39,16,69,0,1,0,4,61,271,313,1066,18,139,91,387,152,713,647,1622
AL
AL
AL,1,10,7,24,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,43,36,133,0,0,1,6,0,0,4,8
AL
AL,0,9,16,69,0,0,0,0,0,1,0,3,0,6,26,82,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,11,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AL,0,3,2,15,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,5,0,3,3,24,1,1,3,16
AL,0,3,12,210,1,2,0,8,0,0,1,33,0,0,1,4,3,13,27,128,0,0,0,2,0,2,8,26,0,2,2,22,0,0,0,4
AL,0,0,3,10,0,0,0,0,0,1,0,2,0,0,2,3,0,2,0,3,0,0,0,0,0,0,1,2,0,0,0,3,0,1,1,4
AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,32,74,433,0,0,0,8,0,2,3,25,0,3,11,68,0,0,2,10,0,0,1,1,0,34,59,330,0,23,42,213,0,16,39,181
AL
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,143,665,604,3569,1,17,11,69,31,114,125,671,0,0,0,0,17,41,17,103,0,0,0,0,0,0,0,0,107,471,430,2554,0,0,0,0
AL,45,231,232,1346,1,10,4,38,11,47,55,261,0,0,0,0,10,27,14,95,0,0,0,0,0,2,0,3,55,221,156,1056,0,0,0,4
AL,0,178,272,1181,0,34,28,153,0,49,63,344,0,69,102,515,2,37,33,195,0,0,0,0,0,2,2,22,0,80,106,552,0,34,35,228
AL,0,0,3,10,0,0,0,0,0,1,0,3,0,0,2,3,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2
AL,2,66,66,345,0,0,1,11,2,6,6,47,4,69,65,339,1,24,27,129,0,0,0,0,0,13,20,88,0,36,24,137,9,181,265,1076
